driverId,driver_name,nationality,total_races,avg_finish_position,avg_grid_position,avg_points_per_race,win_rate,podium_rate,dnf_rate,avg_fastest_lap_speed,avg_best_quali_time
1,Lewis Hamilton,British,356,5.019662921348314,4.300561797752809,13.540730337078651,0.2949438202247191,0.5674157303370787,0.12359550561797752,206.52222766570605,86.75227195467421
2,Nick Heidfeld,German,184,10.722826086956522,11.33695652173913,1.4076086956521738,0.0,0.07065217391304347,0.6413043478260869,204.04457758620688,85.88697122302159
3,Nico Rosberg,German,206,8.25242718446602,6.902912621359223,7.740291262135922,0.11165048543689321,0.2766990291262136,0.2961165048543689,200.2903686868687,88.82168292682927
4,Fernando Alonso,Spanish,404,8.492574257425742,8.57920792079208,5.764851485148514,0.07920792079207921,0.2623762376237624,0.35396039603960394,205.33964425770307,87.06775
5,Heikki Kovalainen,Finnish,112,13.285714285714286,13.741071428571429,0.9375,0.008928571428571428,0.03571428571428571,0.6517857142857143,198.24616513761467,90.73233035714286
6,Kazuki Nakajima,Japanese,36,13.083333333333334,13.805555555555555,0.25,0.0,0.0,0.5833333333333334,201.56545714285716,88.30163888888889
8,Kimi Räikkönen,Finnish,352,8.491477272727273,7.528409090909091,5.3210227272727275,0.05965909090909091,0.29261363636363635,0.3721590909090909,206.01451034482758,86.66320634920635
9,Robert Kubica,Polish,99,10.646464646464647,9.595959595959595,2.7676767676767677,0.010101010101010102,0.12121212121212122,0.43434343434343436,203.6463775510204,87.42707216494844
10,Timo Glock,German,95,15.23157894736842,17.0,0.5368421052631579,0.0,0.031578947368421054,0.7473684210526316,196.10487777777777,92.14525531914894
11,Takuma Sato,Japanese,91,13.461538461538462,14.54945054945055,0.4835164835164835,0.0,0.01098901098901099,0.8571428571428571,206.47354285714286,86.2375616438356
13,Felipe Massa,Brazilian,271,8.99630996309963,8.376383763837639,4.306273062730627,0.04059040590405904,0.15129151291512916,0.3837638376383764,202.55108906882592,88.53463599999999
14,David Coulthard,British,157,9.662420382165605,9.248407643312103,2.0,0.044585987261146494,0.20382165605095542,0.5159235668789809,205.47958536585367,84.81766666666667
15,Jarno Trulli,Italian,210,12.17142857142857,9.842857142857143,1.1214285714285714,0.004761904761904762,0.047619047619047616,0.6523809523809524,201.59079411764708,87.1219938271605
16,Adrian Sutil,German,128,14.5234375,14.796875,0.96875,0.0,0.0,0.71875,197.66395867768594,90.99421875
17,Mark Webber,Australian,217,9.788018433179724,8.262672811059907,4.8271889400921655,0.041474654377880185,0.1935483870967742,0.4423963133640553,203.78741142857143,87.11237810945273
18,Jenson Button,British,309,9.6957928802589,10.006472491909385,3.9967637540453076,0.04854368932038835,0.16181229773462782,0.47896440129449835,200.76288412017166,88.46403846153846
20,Sebastian Vettel,German,300,7.093333333333334,6.266666666666667,10.326666666666666,0.17666666666666667,0.4066666666666667,0.24666666666666667,204.67237024221455,87.58194256756757
